SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
TCGA-2V-A95S-01	1	0.0742404051493524
TCGA-2Y-A9GS-01	1	0.0148607628422493
TCGA-2Y-A9GY-01	1	0.222247252513123
TCGA-2Y-A9H0-01	1	0.119756686978944
TCGA-5C-AAPD-01	1	0.215490406070708
TCGA-BC-4073-01	1	0.156042825146049
TCGA-BC-A10U-01	1	0.195233653717942
TCGA-BC-A10W-01	1	0.102382737590349
TCGA-BC-A112-01	1	0.206729947396054
TCGA-BC-A216-01	1	0.0975784225285954
TCGA-BC-A217-01	1	0.0749359725107483
TCGA-BC-A3KG-01	1	0.0637795157536769
TCGA-BC-A69H-01	1	0.17454376586532
TCGA-BC-A8YO-01	1	0.170711364267983
TCGA-BD-A3EP-01	1	0.100599338187412
TCGA-BW-A5NO-01	1	-0.0136919926075646
TCGA-BW-A5NQ-01	1	0.174406525630217
TCGA-CC-5259-01	1	0.203345771984238
TCGA-CC-5263-01	1	0.202743768163721
TCGA-CC-5264-01	1	0.205066953155766
TCGA-CC-A1HT-01	1	0.0724950173432165
TCGA-CC-A3M9-01	1	-0.0145637210895957
TCGA-CC-A5UE-01	1	0.0356840186660962
TCGA-CC-A7II-01	1	0.133270339777554
TCGA-CC-A7IJ-01	1	0.0693225836174677
TCGA-CC-A8HT-01	1	0.0737927372966289
TCGA-DD-A114-01	1	0.350537975170754
TCGA-DD-A1EC-01	1	0.186254595564559
TCGA-DD-A1EG-01	1	0.0387660430438885
TCGA-DD-A1EK-01	1	-0.0224351805466794
TCGA-DD-A1EL-01	1	0.17383107029609
TCGA-DD-A39Y-01	1	-0.0178379868672426
TCGA-DD-A3A1-01	1	0.0641979129566176
TCGA-DD-A3A7-01	1	0.000765628515409518
TCGA-DD-A4NA-01	1	0.108429753327904
TCGA-DD-A4NQ-01	1	-0.087544836477881
TCGA-DD-A4NR-01	1	0.0847653110455396
TCGA-DD-AACG-01	1	0.113336821046844
TCGA-DD-AACH-01	1	0.161894698758489
TCGA-DD-AACI-01	1	0.136707793393941
TCGA-DD-AACK-01	1	0.12758379299087
TCGA-DD-AACL-01	1	0.0258342578228055
TCGA-DD-AACZ-01	1	0.0993791415596533
TCGA-DD-AAD5-01	1	0.028880526043273
TCGA-DD-AADN-01	1	0.100806530149935
